date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:38	106352/106352	---M-Z	200	added ('OK')	text/html	etag:%2219f70-5fc78240-0;gz%22	https://softali.net/victor/wookie/html/index.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index.html	(from )
12:16:39	31/31	---M--	200	added ('OK')	text/plain	date:Fri,%2025%20May%202018%2009:55:55%20GMT	https://softali.net/robots.txt		(from )
12:16:39	500/500	---M--	200	added ('OK')	image/x-icon	etag:%221f4-5fc7821b-0;;;%22	https://softali.net/victor/wookie/html/favicon.ico	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/favicon.ico	(from https://softali.net/victor/wookie/html/index.html)
12:16:40	51177/51177	---M-Z	200	added ('OK')	text/html	etag:%22c7e9-5fc7821c-0;gz%22	https://softali.net/victor/wookie/html/index-02.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-02.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:41	872290/872290	---M-Z	200	added ('OK')	text/css	etag:%22d4f62-5fc78915-0;gz%22	https://softali.net/victor/wookie/html/css/style.css	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/css/style.css	(from https://softali.net/victor/wookie/html/index.html)
12:16:42	48145/48145	---M-Z	200	added ('OK')	text/html	etag:%22bc11-5fc7821c-0;gz%22	https://softali.net/victor/wookie/html/index-03.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-03.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:42	104727/104727	---M-Z	200	added ('OK')	text/html	etag:%2219917-5fc7821d-0;gz%22	https://softali.net/victor/wookie/html/index-04.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-04.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:42	87392/87392	---M-Z	200	added ('OK')	text/html	etag:%2215560-5fc7821e-0;gz%22	https://softali.net/victor/wookie/html/index-05.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-05.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:43	80773/80773	---M-Z	200	added ('OK')	text/html	etag:%2213b85-5fc7821e-0;gz%22	https://softali.net/victor/wookie/html/index-06.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-06.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:43	87636/87636	---M-Z	200	added ('OK')	text/html	etag:%2215654-5fc7821f-0;gz%22	https://softali.net/victor/wookie/html/index-07.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-07.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:43	70550/70550	---M-Z	200	added ('OK')	text/html	etag:%2211396-5fc7821f-0;gz%22	https://softali.net/victor/wookie/html/index-08.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-08.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:43	69207/69207	---M-Z	200	added ('OK')	text/html	etag:%2210e57-5fc78220-0;gz%22	https://softali.net/victor/wookie/html/index-09.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-09.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:44	52605/52605	---M-Z	200	added ('OK')	text/html	etag:%22cd7d-5fc78220-0;gz%22	https://softali.net/victor/wookie/html/index-10.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-10.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:44	49643/49643	---M-Z	200	added ('OK')	text/html	etag:%22c1eb-5fc78221-0;gz%22	https://softali.net/victor/wookie/html/index-11.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-11.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:44	106516/106516	---M-Z	200	added ('OK')	text/html	etag:%221a014-5fc78221-0;gz%22	https://softali.net/victor/wookie/html/index-12.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-12.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:45	53828/53828	---M-Z	200	added ('OK')	text/html	etag:%22d244-5fc78222-0;gz%22	https://softali.net/victor/wookie/html/index-13.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-13.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:45	74059/74059	---M-Z	200	added ('OK')	text/html	etag:%221214b-5fc78222-0;gz%22	https://softali.net/victor/wookie/html/index-14.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-14.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:45	46931/46931	---M-Z	200	added ('OK')	text/html	etag:%22b753-5fc78223-0;gz%22	https://softali.net/victor/wookie/html/index-15.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-15.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:45	76962/76962	---M-Z	200	added ('OK')	text/html	etag:%2212ca2-5fc78223-0;gz%22	https://softali.net/victor/wookie/html/index-16.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-16.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:46	49118/49118	---M-Z	200	added ('OK')	text/html	etag:%22bfde-5fc78223-0;gz%22	https://softali.net/victor/wookie/html/index-17.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-17.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:46	99524/99524	---M-Z	200	added ('OK')	text/html	etag:%22184c4-5fc78224-0;gz%22	https://softali.net/victor/wookie/html/index-18.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-18.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:46	68026/68026	---M-Z	200	added ('OK')	text/html	etag:%22109ba-5fc78224-0;gz%22	https://softali.net/victor/wookie/html/index-19.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-19.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:47	166293/166293	---M-Z	200	added ('OK')	text/html	etag:%2228995-5fc78225-0;gz%22	https://softali.net/victor/wookie/html/index-20.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-20.html	(from https://softali.net/victor/wookie/html/index.html)
